"ide","code","TT","TF","T"
"ide.jupyter","code.c",0.224,0.208,0.211
"ide.jupyter","code.cpp",0.224,0.208,0.211
"ide.jupyter","code.java",0.227,0.208,0.211
"ide.jupyter","code.javascript",0.241,0.205,0.211
"ide.jupyter","code.matlab",0.248,0.207,0.211
"ide.jupyter","code.python",0.242,0.051,0.211
"ide.jupyter","code.r",0.258,0.199,0.211
"ide.jupyter","code.sql",0.258,0.178,0.211
"ide.matlab","code.c",0.165,0.067,0.085
"ide.matlab","code.cpp",0.156,0.066,0.085
"ide.matlab","code.java",0.107,0.08,0.085
"ide.matlab","code.javascript",0.086,0.085,0.085
"ide.matlab","code.matlab",0.566,0.024,0.085
"ide.matlab","code.python",0.088,0.066,0.085
"ide.matlab","code.r",0.1,0.081,0.085
"ide.matlab","code.sql",0.07,0.095,0.085
"ide.notepad","code.c",0.212,0.138,0.152
"ide.notepad","code.cpp",0.201,0.138,0.152
"ide.notepad","code.java",0.24,0.132,0.152
"ide.notepad","code.javascript",0.236,0.135,0.152
"ide.notepad","code.matlab",0.183,0.148,0.152
"ide.notepad","code.python",0.153,0.146,0.152
"ide.notepad","code.r",0.174,0.146,0.152
"ide.notepad","code.sql",0.22,0.103,0.152
"ide.pycharm","code.c",0.35,0.274,0.288
"ide.pycharm","code.cpp",0.355,0.269,0.288
"ide.pycharm","code.java",0.392,0.264,0.288
"ide.pycharm","code.javascript",0.322,0.281,0.288
"ide.pycharm","code.matlab",0.334,0.282,0.288
"ide.pycharm","code.python",0.327,0.079,0.288
"ide.pycharm","code.r",0.255,0.296,0.288
"ide.pycharm","code.sql",0.325,0.261,0.288
"ide.rstudio","code.c",0.154,0.19,0.184
"ide.rstudio","code.cpp",0.134,0.197,0.184
"ide.rstudio","code.java",0.156,0.19,0.184
"ide.rstudio","code.javascript",0.151,0.19,0.184
"ide.rstudio","code.matlab",0.217,0.179,0.184
"ide.rstudio","code.python",0.179,0.208,0.184
"ide.rstudio","code.r",0.752,0.037,0.184
"ide.rstudio","code.sql",0.244,0.141,0.184
"ide.slime","code.c",0.149,0.1,0.109
"ide.slime","code.cpp",0.156,0.097,0.109
"ide.slime","code.java",0.172,0.095,0.109
"ide.slime","code.javascript",0.178,0.096,0.109
"ide.slime","code.matlab",0.125,0.107,0.109
"ide.slime","code.python",0.118,0.062,0.109
"ide.slime","code.r",0.111,0.109,0.109
"ide.slime","code.sql",0.141,0.087,0.109
"ide.spyder","code.c",0.184,0.138,0.146
"ide.spyder","code.cpp",0.173,0.139,0.146
"ide.spyder","code.java",0.165,0.142,0.146
"ide.spyder","code.javascript",0.14,0.147,0.146
"ide.spyder","code.matlab",0.248,0.133,0.146
"ide.spyder","code.python",0.167,0.036,0.146
"ide.spyder","code.r",0.198,0.133,0.146
"ide.spyder","code.sql",0.168,0.131,0.146
"ide.vim","code.c",0.09,0.057,0.063
"ide.vim","code.cpp",0.091,0.056,0.063
"ide.vim","code.java",0.084,0.059,0.063
"ide.vim","code.javascript",0.102,0.056,0.063
"ide.vim","code.matlab",0.058,0.064,0.063
"ide.vim","code.python",0.069,0.034,0.063
"ide.vim","code.r",0.062,0.064,0.063
"ide.vim","code.sql",0.074,0.056,0.063
"ide.vs","code.c",0.258,0.136,0.158
"ide.vs","code.cpp",0.286,0.124,0.158
"ide.vs","code.java",0.236,0.141,0.158
"ide.vs","code.javascript",0.266,0.137,0.158
"ide.vs","code.matlab",0.207,0.152,0.158
"ide.vs","code.python",0.158,0.158,0.158
"ide.vs","code.r",0.15,0.16,0.158
"ide.vs","code.sql",0.197,0.131,0.158
"ide.vscode","code.c",0.51,0.359,0.387
"ide.vscode","code.cpp",0.532,0.347,0.387
"ide.vscode","code.java",0.513,0.358,0.387
"ide.vscode","code.javascript",0.659,0.332,0.387
"ide.vscode","code.matlab",0.376,0.388,0.387
"ide.vscode","code.python",0.421,0.206,0.387
"ide.vscode","code.r",0.323,0.403,0.387
"ide.vscode","code.sql",0.441,0.348,0.387
